Numerator	Denominator	eco WeiLi old	eco WeiLi complete	eco WeiLi minimal	eco WeiLi without methionine
-Cell Growth and Death	-Neurodegenerative Diseases	882.6	1483	22.41	1887
-Cell Communication	-Neurodegenerative Diseases	0	0	0	0
Metabolism	-Neurodegenerative Diseases	183500	150500	4236	261500
-Membrane Transport	-Neurodegenerative Diseases	41500	28110	870	53780
-Central Carbon Metabolism	-Neurodegenerative Diseases	36490	22820	634.4	32500
-Energy Metabolism	-Neurodegenerative Diseases	14810	13670	238.1	18100
-Biosynthesis	-Neurodegenerative Diseases	45130	44290	1375	93910
-Other Enzymes	-Neurodegenerative Diseases	53470	46780	1262	75720
Organismal Systems	-Neurodegenerative Diseases	98.6	32.93	2.424	48.58
-Immune System	-Neurodegenerative Diseases	0	0	0	0
-Endocrine System	-Neurodegenerative Diseases	98.6	32.93	2.424	48.58
-Circulatory System	-Neurodegenerative Diseases	0	0	0	0
-Digestive System	-Neurodegenerative Diseases	0.0007222	0.0002645	0.007001	1.259e-06
-Excretory System	-Neurodegenerative Diseases	0	0	0	0
-Nervous System	-Neurodegenerative Diseases	0	0	0	0
-Sensory System	-Neurodegenerative Diseases	0	0	0	0
-Development	-Neurodegenerative Diseases	0	0	0	0
-Environmental Adaptation	-Neurodegenerative Diseases	0	0	0	0
Human Diseases	-Neurodegenerative Diseases	4439	2547	61.57	5357
-Cancers	-Neurodegenerative Diseases	34.24	17.79	0.8882	27.17
-Immune System Diseases	-Neurodegenerative Diseases	27.02	25.86	0.5487	45.67
-Neurodegenerative Diseases	-Neurodegenerative Diseases	1	1	1	1
-Cardiovascular Diseases	-Neurodegenerative Diseases	0	0	0	0
-Metabolic Diseases	-Neurodegenerative Diseases	3708	1863	23.2	4825
-Infectious Diseases	-Neurodegenerative Diseases	942.2	807.8	38.41	929.9
Not Mapped	-Neurodegenerative Diseases	68650	103200	4012	148600
-Not Mapped	-Neurodegenerative Diseases	68650	103200	4012	148600
TOTAL	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
MAPPED	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
Genetic Information Processing	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Transcription	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Translation	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-DNA Maintenance	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-RNA Family	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
Environmental Information Processing	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Signal Transduction	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
Cellular Processes	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Crystallins	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Stress Response	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Vesicular Transport	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Cytoskeleton	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Cell Motility	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Cell Communication	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
Metabolism	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Membrane Transport	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Energy Metabolism	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Biosynthesis	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Other Enzymes	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
Organismal Systems	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Immune System	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Endocrine System	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Circulatory System	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Digestive System	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Excretory System	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Nervous System	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Sensory System	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Development	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
Human Diseases	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Cancers	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Immune System Diseases	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Cardiovascular Diseases	NaN	NaN	NaN	NaN
-Infectious Diseases	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
Not Mapped	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
-Not Mapped	-Cardiovascular Diseases	Inf	Inf	Inf	Inf
TOTAL	-Metabolic Diseases	Inf	Inf	Inf	Inf
MAPPED	-Metabolic Diseases	Inf	Inf	Inf	Inf
Genetic Information Processing	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Transcription	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Translation	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Folding, Sorting and Degradation	-Metabolic Diseases	Inf	Inf	Inf	Inf
-DNA Maintenance	-Metabolic Diseases	Inf	Inf	Inf	Inf
-RNA Family	-Metabolic Diseases	NaN	NaN	NaN	NaN
Environmental Information Processing	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Signal Transduction	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Signaling Molecules and Interaction	-Metabolic Diseases	Inf	Inf	Inf	Inf
Cellular Processes	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Crystallins	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Stress Response	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Vesicular Transport	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Cytoskeleton	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Cell Motility	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Cell Growth and Death	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Cell Communication	-Metabolic Diseases	NaN	NaN	NaN	NaN
Metabolism	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Membrane Transport	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Central Carbon Metabolism	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Energy Metabolism	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Biosynthesis	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Other Enzymes	-Metabolic Diseases	Inf	Inf	Inf	Inf
Organismal Systems	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Immune System	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Endocrine System	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Circulatory System	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Digestive System	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Excretory System	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Nervous System	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Sensory System	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Development	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Environmental Adaptation	-Metabolic Diseases	NaN	NaN	NaN	NaN
Human Diseases	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Cancers	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Immune System Diseases	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Neurodegenerative Diseases	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Cardiovascular Diseases	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Metabolic Diseases	-Metabolic Diseases	NaN	NaN	NaN	NaN
-Infectious Diseases	-Metabolic Diseases	Inf	Inf	Inf	Inf
Not Mapped	-Metabolic Diseases	Inf	Inf	Inf	Inf
-Not Mapped	-Metabolic Diseases	Inf	Inf	Inf	Inf
TOTAL	-Infectious Diseases	1411	1419	549.6	1401
MAPPED	-Infectious Diseases	1223	1183	372.5	1156
Genetic Information Processing	-Infectious Diseases	697.8	827.8	178.6	702.2
-Transcription	-Infectious Diseases	22.43	27.46	12.42	27.39
-Translation	-Infectious Diseases	551.5	689.6	128.7	574.1
-Folding, Sorting and Degradation	-Infectious Diseases	94.54	84.71	25.69	89.13
-DNA Maintenance	-Infectious Diseases	24.42	24.87	10.93	23.55
-RNA Family	-Infectious Diseases	0	0	0	0
Environmental Information Processing	-Infectious Diseases	4.041	5.498	3.056	6.688
-Signal Transduction	-Infectious Diseases	4.023	5.486	3.049	6.681
-Signaling Molecules and Interaction	-Infectious Diseases	0.01967	0.01223	0.007676	0.007305
Cellular Processes	-Infectious Diseases	5.273	5.657	3.605	5.322
-Crystallins	-Infectious Diseases	0	0	0	0
-Stress Response	-Infectious Diseases	0.02297	0.0582	1.737	0.08791
-Vesicular Transport	-Infectious Diseases	0.001855	0.0006009	0.0004709	1.376e-05
-Cytoskeleton	-Infectious Diseases	3.626	2.378	1.013	2.491
-Cell Motility	-Infectious Diseases	1.165	1.191	0.3851	0.221
-Cell Growth and Death	-Infectious Diseases	1.255	2.877	0.7579	2.544
-Cell Communication	-Infectious Diseases	0	0	0	0
Metabolism	-Infectious Diseases	504	340.5	181.2	431.8
-Membrane Transport	-Infectious Diseases	114.5	66.65	36.8	88.78
-Central Carbon Metabolism	-Infectious Diseases	75.25	44.13	24.81	55.39
-Energy Metabolism	-Infectious Diseases	29.62	24.92	9.524	29.88
-Biosynthesis	-Infectious Diseases	126.3	95.77	59.82	155
-Other Enzymes	-Infectious Diseases	130.4	102.7	51.72	125.4
Organismal Systems	-Infectious Diseases	0.1313	0.05743	0.09982	0.06464
-Immune System	-Infectious Diseases	0	0	0	0
-Endocrine System	-Infectious Diseases	0.1046	0.04076	0.09982	0.06464
-Circulatory System	-Infectious Diseases	0	0	0	0
-Digestive System	-Infectious Diseases	0.004496	0.001869	0.02128	8.843e-06
-Excretory System	-Infectious Diseases	0	0	0	0
-Nervous System	-Infectious Diseases	0	0	0	0
-Sensory System	-Infectious Diseases	0	0	0	0
-Development	-Infectious Diseases	0	0	0	0
-Environmental Adaptation	-Infectious Diseases	0	0	0	0
Human Diseases	-Infectious Diseases	8.861	9.118	6.483	11.03
-Cancers	-Infectious Diseases	0.01482	0.01711	0.02889	0.01204
-Immune System Diseases	-Infectious Diseases	0.05865	0.06877	0.04012	0.09403
-Neurodegenerative Diseases	-Infectious Diseases	6.226	7.069	5.443	7.024
-Cardiovascular Diseases	-Infectious Diseases	0	0	0	0
-Metabolic Diseases	-Infectious Diseases	4.896	2.835	0.7341	9.123
-Infectious Diseases	-Infectious Diseases	1	1	1	1
Not Mapped	-Infectious Diseases	188.2	235.4	177.1	245.2
-Not Mapped	-Infectious Diseases	188.2	235.4	177.1	245.2
TOTAL	Not Mapped	7.501	6.026	3.104	5.714
MAPPED	Not Mapped	6.501	5.026	2.104	4.714
Genetic Information Processing	Not Mapped	3.747	3.518	1.008	2.912
-Transcription	Not Mapped	0.1644	0.1363	0.07516	0.1299
-Translation	Not Mapped	2.964	2.929	0.7305	2.339
-Folding, Sorting and Degradation	Not Mapped	0.5148	0.3659	0.1539	0.3791
-DNA Maintenance	Not Mapped	0.1944	0.1327	0.06441	0.1009
-RNA Family	Not Mapped	0	0	0	0
Environmental Information Processing	Not Mapped	0.03262	0.02851	0.01801	0.02727
-Signal Transduction	Not Mapped	0.03247	0.02845	0.01778	0.02724
-Signaling Molecules and Interaction	Not Mapped	0.0001045	5.193e-05	4.335e-05	2.979e-05
Cellular Processes	Not Mapped	0.04036	0.03031	0.02421	0.02443
-Crystallins	Not Mapped	0	0	0	0
-Stress Response	Not Mapped	0.0001221	0.0002472	0.009807	0.0003585
-Vesicular Transport	Not Mapped	1.497e-05	3.116e-06	2.58e-06	5.61e-08
-Cytoskeleton	Not Mapped	0.01927	0.0101	0.005719	0.01016
-Cell Motility	Not Mapped	0.008249	0.00564	0.003007	0.0009294
-Cell Growth and Death	Not Mapped	0.01286	0.01438	0.005673	0.01298
-Cell Communication	Not Mapped	0	0	0	0
Metabolism	Not Mapped	2.693	1.459	1.056	1.761
-Membrane Transport	Not Mapped	0.6082	0.2774	0.2219	0.362
-Central Carbon Metabolism	Not Mapped	0.5315	0.2213	0.1581	0.2188
-Energy Metabolism	Not Mapped	0.2157	0.1336	0.06712	0.1219
-Biosynthesis	Not Mapped	0.8039	0.4625	0.3503	0.6694
-Other Enzymes	Not Mapped	0.8661	0.499	0.3247	0.5359
Organismal Systems	Not Mapped	0.001802	0.0004497	0.0006708	0.0004235
-Immune System	Not Mapped	0	0	0	0
-Endocrine System	Not Mapped	0.001436	0.0003192	0.0006043	0.000327
-Circulatory System	Not Mapped	0	0	0	0
-Digestive System	Not Mapped	3.629e-05	9.694e-06	0.0002152	5.61e-08
-Excretory System	Not Mapped	0	0	0	0
-Nervous System	Not Mapped	0	0	0	0
-Sensory System	Not Mapped	0	0	0	0
-Development	Not Mapped	0	0	0	0
-Environmental Adaptation	Not Mapped	0	0	0	0
Human Diseases	Not Mapped	0.1138	0.06069	0.04261	0.08448
-Cancers	Not Mapped	0.0004987	0.0001724	0.0002214	0.0001829
-Immune System Diseases	Not Mapped	0.0005074	0.0003663	0.0002265	0.0004028
-Neurodegenerative Diseases	Not Mapped	0.05025	0.03666	0.03073	0.04455
-Cardiovascular Diseases	Not Mapped	0	0	0	0
-Metabolic Diseases	Not Mapped	0.054	0.01806	0.005782	0.03248
-Infectious Diseases	Not Mapped	0.06357	0.02403	0.01174	0.03993
Not Mapped	Not Mapped	1	1	1	1
-Not Mapped	Not Mapped	1	1	1	1
TOTAL	-Not Mapped	7.501	6.026	3.104	5.714
MAPPED	-Not Mapped	6.501	5.026	2.104	4.714
Genetic Information Processing	-Not Mapped	3.747	3.518	1.008	2.912
-Transcription	-Not Mapped	0.1644	0.1363	0.07516	0.1299
-Translation	-Not Mapped	2.964	2.929	0.7305	2.339
-Folding, Sorting and Degradation	-Not Mapped	0.5148	0.3659	0.1539	0.3791
-DNA Maintenance	-Not Mapped	0.1944	0.1327	0.06441	0.1009
-RNA Family	-Not Mapped	0	0	0	0
Environmental Information Processing	-Not Mapped	0.03262	0.02851	0.01801	0.02727
-Signal Transduction	-Not Mapped	0.03247	0.02845	0.01778	0.02724
-Signaling Molecules and Interaction	-Not Mapped	0.0001045	5.193e-05	4.335e-05	2.979e-05
Cellular Processes	-Not Mapped	0.04036	0.03031	0.02421	0.02443
-Crystallins	-Not Mapped	0	0	0	0
-Stress Response	-Not Mapped	0.0001221	0.0002472	0.009807	0.0003585
-Vesicular Transport	-Not Mapped	1.497e-05	3.116e-06	2.58e-06	5.61e-08
-Cytoskeleton	-Not Mapped	0.01927	0.0101	0.005719	0.01016
-Cell Motility	-Not Mapped	0.008249	0.00564	0.003007	0.0009294
-Cell Growth and Death	-Not Mapped	0.01286	0.01438	0.005673	0.01298
-Cell Communication	-Not Mapped	0	0	0	0
Metabolism	-Not Mapped	2.693	1.459	1.056	1.761
-Membrane Transport	-Not Mapped	0.6082	0.2774	0.2219	0.362
-Central Carbon Metabolism	-Not Mapped	0.5315	0.2213	0.1581	0.2188
-Energy Metabolism	-Not Mapped	0.2157	0.1336	0.06712	0.1219
-Biosynthesis	-Not Mapped	0.8039	0.4625	0.3503	0.6694
-Other Enzymes	-Not Mapped	0.8661	0.499	0.3247	0.5359
Organismal Systems	-Not Mapped	0.001802	0.0004497	0.0006708	0.0004235
-Immune System	-Not Mapped	0	0	0	0
-Endocrine System	-Not Mapped	0.001436	0.0003192	0.0006043	0.000327
-Circulatory System	-Not Mapped	0	0	0	0
-Digestive System	-Not Mapped	3.629e-05	9.694e-06	0.0002152	5.61e-08
-Excretory System	-Not Mapped	0	0	0	0
-Nervous System	-Not Mapped	0	0	0	0
-Sensory System	-Not Mapped	0	0	0	0
-Development	-Not Mapped	0	0	0	0
-Environmental Adaptation	-Not Mapped	0	0	0	0
Human Diseases	-Not Mapped	0.1138	0.06069	0.04261	0.08448
-Cancers	-Not Mapped	0.0004987	0.0001724	0.0002214	0.0001829
-Immune System Diseases	-Not Mapped	0.0005074	0.0003663	0.0002265	0.0004028
-Neurodegenerative Diseases	-Not Mapped	0.05025	0.03666	0.03073	0.04455
-Cardiovascular Diseases	-Not Mapped	0	0	0	0
-Metabolic Diseases	-Not Mapped	0.054	0.01806	0.005782	0.03248
-Infectious Diseases	-Not Mapped	0.06357	0.02403	0.01174	0.03993
Not Mapped	-Not Mapped	1	1	1	1
-Not Mapped	-Not Mapped	1	1	1	1
